"Date","Price","Open","High","Low","Vol.","Change %"
"03/02/2020","496.00","495.00","496.00","494.00","5.64K","0.20%"
"02/28/2020","495.00","507.00","507.00","495.00","163.50K","-2.37%"
"02/26/2020","507.00","511.00","511.00","507.00","38.83K","-0.78%"
"02/25/2020","511.00","510.00","513.00","510.00","66.89K","0.18%"
"02/24/2020","510.10","501.10","510.10","501.10","13.14K","0.02%"
"02/21/2020","510.00","500.00","513.00","500.00","415.85K","1.19%"
"02/20/2020","504.00","500.00","504.00","500.00","41.12K","0.80%"
"02/19/2020","500.00","493.05","500.00","493.05","1.23K","0.00%"
"02/18/2020","500.00","500.00","500.10","499.10","31.28K","0.00%"
"02/17/2020","500.00","498.00","500.00","498.00","10.78K","-0.02%"
"02/14/2020","500.10","487.50","500.10","487.50","81.57K","1.03%"
"02/13/2020","495.00","494.00","495.00","487.05","3.06K","2.47%"
"02/12/2020","483.05","483.05","483.05","483.05","2.55K","0.04%"
"02/11/2020","482.85","486.00","486.00","482.50","22.52K","-1.16%"
"02/10/2020","488.50","489.10","489.10","488.50","31.52K","0.00%"
"02/07/2020","488.50","493.00","493.00","488.05","133.34K","-1.11%"
"02/06/2020","494.00","495.45","496.05","494.00","52.42K","-1.20%"
"02/05/2020","500.00","502.90","503.00","494.05","20.78K","1.21%"
"02/04/2020","494.00","494.00","494.00","493.90","39.26K","0.00%"
"02/03/2020","494.00","507.00","513.00","494.00","6.55K","-1.98%"
"01/31/2020","504.00","498.00","505.00","498.00","66.59K","1.20%"
"01/30/2020","498.00","498.00","498.00","497.10","52.87K","-0.40%"
"01/29/2020","500.00","503.00","503.00","500.00","44.57K","-0.60%"
"01/28/2020","503.00","503.00","505.00","503.00","31.07K","-0.40%"
"01/27/2020","505.00","505.00","505.50","504.00","51.03K","-0.20%"
"01/24/2020","506.00","507.00","507.00","501.20","107.85K","0.20%"
"01/23/2020","505.00","507.00","507.00","501.10","65.41K","-0.39%"
"01/22/2020","507.00","503.00","507.00","503.00","130.08K","0.80%"
"01/21/2020","503.00","500.00","503.00","500.00","24.99K","0.02%"
"01/20/2020","502.90","498.30","502.90","498.30","6.72K","0.78%"
"01/17/2020","499.00","501.60","503.00","497.10","83.77K","-0.20%"
"01/16/2020","500.00","495.10","500.00","495.10","60.36K","0.41%"
"01/15/2020","497.95","498.00","499.00","496.65","97.60K","0.28%"
"01/14/2020","496.55","493.50","496.55","493.50","7.71K","0.69%"
"01/13/2020","493.15","492.05","493.15","492.05","1.83K","-0.67%"
"01/10/2020","496.50","497.60","501.90","496.50","361.57K","-0.49%"
"01/09/2020","498.95","498.00","500.20","498.00","120.49K","0.39%"
"01/08/2020","497.00","495.00","498.00","495.00","112.77K","0.40%"
"01/07/2020","495.00","490.50","495.00","490.50","17.85K","0.92%"
"01/06/2020","490.50","490.00","490.50","490.00","21.40K","-0.90%"
"01/03/2020","494.95","488.90","495.00","487.00","26.66K","1.01%"
"01/02/2020","490.00","490.00","490.00","490.00","4.77K","-1.80%"
"12/31/2019","499.00","491.00","499.00","488.00","167.17K","1.84%"
"12/30/2019","490.00","485.25","490.00","485.25","29.60K","0.20%"
"12/27/2019","489.00","487.10","489.00","486.00","28.93K","0.38%"
"12/26/2019","487.15","488.10","488.10","487.10","35.42K","-0.38%"
"12/25/2019","489.00","492.00","492.00","488.10","99.81K","-0.20%"
"12/24/2019","490.00","491.50","492.00","490.00","127.77K","-0.61%"
"12/23/2019","493.00","492.60","493.00","487.70","118.55K","0.08%"
"12/20/2019","492.60","491.60","492.60","491.60","234.98K","0.22%"
"12/19/2019","491.50","490.00","491.85","490.00","216.39K","0.52%"
